,y_real,y_pred
142,0,0.166068703
143,1,0.45991528
144,0,0.038961418
145,0,0.074173748
146,0,0.085273772
147,0,0.470440328
148,0,0.094068922
149,0,0.068226352
150,0,0.385910451
151,0,0.27654922
152,0,0.127935663
153,0,0.21547015
154,0,0.123313196
155,0,0.05978835
156,1,0.252667964
157,0,0.17634894
158,0,0.103732176
159,0,0.375390679
160,1,0.376157612
161,1,0.287451744
162,0,0.119294435
163,0,0.268372416
164,1,0.193380773
165,0,0.549698174
166,0,0.106632121
167,0,0.22824353
168,0,0.371160537
169,0,0.051170073
170,0,0.111245662
171,0,0.162386104
172,0,0.377880216
173,0,0.491674602
174,0,0.083934277
175,0,0.209963992
176,0,0.073422685
177,1,0.125043973
178,0,0.131950229
179,0,0.312024355
180,0,0.121868819
181,0,0.47458899
182,0,0.127495855
183,0,0.224400297
184,0,0.175680965
185,0,0.080026448
186,0,0.063268043
187,0,0.101729408
188,0,0.316431731
189,0,0.239861906
190,1,0.076607972
191,0,0.060088828
192,0,0.071208991
193,1,0.038580835
194,0,0.159153998
195,0,0.107776821
196,0,0.166483238
197,0,0.0322471
198,1,0.161599904
199,0,0.050396085
200,0,0.063816525
201,0,0.177446976
202,0,0.359172523
203,0,0.150576934
204,0,0.087308139
205,0,0.085705876
206,0,0.090467803
207,0,0.300447047
208,0,0.213290334
209,0,0.095303163
210,0,0.031852737
211,0,0.275928795
212,0,0.184833288
213,0,0.303273171
214,0,0.226071864
215,0,0.170892656
216,0,0.049450245
217,0,0.126258671
218,0,0.115768991
219,0,0.717903256
220,0,0.04155476
221,0,0.267728299
222,1,0.140951097
223,0,0.088041462
224,0,0.083857007
225,0,0.093605116
226,0,0.101692721
227,0,0.064573459
228,0,0.433453858
229,0,0.065404542
230,0,0.033153791
231,0,0.220919758
232,0,0.054700341
233,1,0.041685387
234,1,0.0344874
235,0,0.350003213
236,0,0.233427852
237,1,0.076283455
238,0,0.11666026
239,0,0.15212293
240,0,0.119994305
241,0,0.215968385
242,0,0.089860387
243,0,0.031728562
244,0,0.091924615
245,0,0.052031968
246,0,0.302537411
247,0,0.025363382
248,0,0.016500568
249,0,0.127525985
250,0,0.128189892
251,0,0.048142027
252,1,0.185261041
253,0,0.064247541
254,0,0.101180263
255,0,0.064443335
256,1,0.497486532
257,0,0.029765286
258,1,0.312683076
259,0,0.22103031
260,0,0.479935497
261,0,0.363915145
262,0,0.130224645
263,0,0.311318338
264,0,0.330985993
265,0,0.142774507
266,0,0.513615131
267,0,0.146093249
268,0,0.023469722
269,0,0.203129679
270,0,0.265929222
271,0,0.057203915
272,0,0.346151441
273,1,0.045350235
274,1,0.097185291
275,0,0.079102173
276,0,0.202919707
277,0,0.245596856
278,0,0.19801788
279,0,0.330181032
280,0,0.130072027
281,0,0.155177489
282,0,0.174519077
283,0,0.040876057
284,0,0.078116097
285,0,0.239631087
286,0,0.044096712
287,0,0.22366713
288,0,0.032776155
289,0,0.185451701
290,0,0.133940384
291,0,0.094645947
292,0,0.132678434
293,0,0.371420741
294,1,0.397526711
295,0,0.175172642
296,0,0.107153483
297,0,0.285608023
298,0,0.234363958
299,0,0.240110412
300,0,0.174881041
301,0,0.049439006
302,0,0.093754165
303,0,0.051825326
304,0,0.243431315
305,0,0.057383832
306,0,0.067373633
307,0,0.027953135
308,0,0.019358682
309,0,0.097649351
310,1,0.280159026
311,0,0.051608615
312,0,0.332312882
313,0,0.034381472
314,0,0.421988845
315,1,0.299501181
316,0,0.176904902
317,0,0.072230667
318,0,0.090397827
319,0,0.069092013
320,0,0.153292015
321,0,0.163209349
322,0,0.035859283
323,0,0.08584702
324,0,0.032148857
325,0,0.028812928
326,0,0.117923848
327,0,0.021340188
328,0,0.052852556
329,0,0.046530928
330,0,0.02067099
331,1,0.078700632
332,0,0.018519273
333,0,0.016422631
334,0,0.092548348
335,0,0.182987228
336,0,0.116179667
337,1,0.079165615
338,0,0.257426739
339,0,0.183345541
340,0,0.102491982
341,0,0.257044435
342,1,0.144834504
343,0,0.160926491
344,0,0.113418333
345,0,0.097930714
346,0,0.3096385
347,1,0.164030612
348,0,0.295551687
349,0,0.063562751
350,0,0.519336879
351,0,0.070814818
352,0,0.128537819
353,0,0.231362879
354,1,0.082605824
355,0,0.107072487
356,0,0.117549896
357,0,0.155528173
358,1,0.082782753
359,0,0.122487463
360,0,0.209901065
361,0,0.089419805
362,0,0.106894135
363,0,0.182433322
364,0,0.133269057
365,0,0.308848083
366,0,0.084621832
367,0,0.117530912
368,0,0.033744287
369,0,0.02301269
370,1,0.324054062
371,0,0.190216973
372,0,0.033734098
373,0,0.020723291
374,0,0.108170897
375,0,0.07318569
376,0,0.058098014
377,0,0.029593037
378,0,0.186523005
379,0,0.022823418
380,0,0.170791119
381,0,0.120268852
382,0,0.032559495
383,0,0.131388038
384,0,0.300572783
385,0,0.12203861
386,0,0.097789377
387,0,0.109620877
388,0,0.058380511
389,0,0.062293995
390,0,0.130969808
391,0,0.059846103
392,1,0.105031945
393,0,0.150981322
394,0,0.284802169
395,0,0.056159534
396,0,0.399486125
397,0,0.503235459
398,0,0.24225907
